1,05:28,18:35,100
2,05:33,18:37,100
3,05:37,18:39,100
4,05:41,18:39,100
5,05:45,18:39,100
6,05:48,18:38,100
7,05:51,18:35,100
8,05:53,18:32,100
9,05:55,18:29,100
10,05:57,18:24,100
11,05:58,18:19,100
12,05:59,18:14,100
13,06:00,18:08,100
14,06:01,18:03,100
15,06:03,17:58,100
16,06:04,17:53,100
17,06:05,17:49,100
18,06:07,17:45,100
19,06:09,17:42,100
20,06:11,17:39,100
21,06:13,17:37,100
22,06:15,17:36,100
23,06:18,17:36,100
24,06:20,17:36,100
25,06:22,17:37,100
26,06:23,17:39,100
27,06:24,17:41,100
28,06:24,17:43,100
29,06:24,17:45,100
30,06:23,17:47,100
31,06:21,17:49,100
32,06:18,17:51,100
33,06:14,17:53,100
34,06:10,17:54,100
35,06:05,17:55,100
36,06:00,17:56,100
37,05:55,17:56,100
38,05:49,17:57,100
39,05:44,17:58,100
40,05:38,17:58,100
41,05:33,17:59,100
42,05:28,18:00,100
43,05:24,18:02,100
44,05:21,18:04,100
45,05:18,18:06,100
46,05:16,18:09,100
47,05:15,18:12,100
48,05:15,18:16,100
49,05:16,18:20,100
50,05:18,18:24,100
51,05:21,18:28,100
52,05:24,18:31,100
53,05:28,18:34,100
